trade_no,coin,side,signal_time,actual_result,R,touch_age,adx_pct,adx_delta,volr,ema_dist,entry_score,V15_BASELINE_kept,V15.1-A_FRESH_PULLBACK_kept,V15.1-B_FRESH_PLUS_ADX_DETERIORATION_kept,V15.1-C_FRESH_PLUS_VOL120_kept,V15.1-D_FRESH_PLUS_EMA080_kept,V15.1-E_COMBINATION_kept
64,S/USDT:USDT,LONG,2026-09-22T05:30:00+00:00,TP,1.25,1.0,1.0,2.297192050894843,1.2062318143964301,0.6197302563008842,83.26097321944503,True,True,True,True,True,True
65,TURBO/USDT:USDT,LONG,2026-09-22T05:45:00+00:00,TP,1.25,1.0,0.915,4.855157611571272,15.290522100273332,0.704027593042666,58.39822858761109,True,True,True,True,True,True
66,ORDI/USDT:USDT,LONG,2026-09-22T05:45:00+00:00,SL,-1.0,1.0,0.985,4.7311956781489,1.078761711222855,0.4700684231140705,69.94338129977606,True,True,True,False,True,False
67,SEI/USDT:USDT,LONG,2026-09-22T06:30:00+00:00,SL,-1.0,1.0,1.0,7.088719599876178,1.5822353136048568,0.9268488702181344,62.610274591436735,True,True,True,True,False,False
68,HBAR/USDT:USDT,LONG,2026-09-22T07:00:00+00:00,TP,1.25,1.0,0.98,6.677953023782571,2.1415638477404837,0.8400222953324832,72.94072925874579,True,True,True,True,False,False
69,NEAR/USDT:USDT,LONG,2026-09-22T08:00:00+00:00,TP,1.25,1.0,0.9,-2.645281633755104,1.4877211897126061,0.7071596032834396,46.95267553854384,True,True,False,True,True,False
70,TRX/USDT:USDT,LONG,2026-09-22T08:30:00+00:00,SL,-1.0,1.0,1.0,6.439340759177902,1.1759391815175002,0.8912890807794434,71.9987221877701,True,True,True,False,False,False
71,GRASS/USDT:USDT,LONG,2026-09-22T11:00:00+00:00,SL,-1.0,1.0,1.0,8.51483030962568,1.4434783664588153,0.03427521123373703,71.59768169093707,True,True,True,True,True,True
72,TAO/USDT:USDT,LONG,2026-09-22T13:45:00+00:00,SL,-1.0,1.0,0.995,6.181192709775445,1.1568275149160663,0.6436007421581678,61.51056288808802,True,True,True,False,True,False
73,XLM/USDT:USDT,LONG,2026-09-22T14:45:00+00:00,TP,1.25,1.0,0.88,3.5569411998646885,1.4610175353486585,0.2647588124213057,60.58528796938627,True,True,True,True,True,True
74,GIGGLE/USDT:USDT,LONG,2026-09-22T15:00:00+00:00,TP,1.25,1.0,0.87,5.898826640937937,1.2692955601600506,0.36168370993153826,59.4057124737142,True,True,True,True,True,True
75,UNI/USDT:USDT,LONG,2026-09-22T15:00:00+00:00,TP,1.25,1.0,0.665,-0.7033639941063541,1.2159322775739037,0.7206672633411847,43.0629798043399,True,True,True,True,True,True
76,NEAR/USDT:USDT,LONG,2026-09-22T16:15:00+00:00,SL,-1.0,1.0,0.885,-0.44192508856122714,1.0310111675989775,0.25652947192862086,46.75856690728751,True,True,True,False,True,False
77,1INCH/USDT:USDT,LONG,2026-09-22T22:15:00+00:00,TP,1.25,1.0,0.84,-0.475131705722994,1.0133724149277648,0.49709197223455,28.998629947325988,True,True,True,False,True,False
78,BTC/USDT:USDT,LONG,2026-09-22T23:00:00+00:00,TP,1.25,1.0,0.83,1.6516126154488902,1.9867039498910373,0.6290342669476218,45.267678883587,True,True,True,True,True,True
79,NIL/USDT:USDT,LONG,2026-09-22T23:00:00+00:00,TP,1.25,1.0,1.0,3.7700679873606617,1.0605466706017221,0.6707257495715903,81.22413251035422,True,True,True,False,True,False
80,BROCCOLI/USDT:USDT,LONG,2026-09-23T00:00:00+00:00,SL,-1.0,1.0,1.0,9.366893545074525,1.0539658775473135,0.6555754423911037,72.64937019572838,True,True,True,False,True,False
