signal_key,signal_time,coin,side,core,status,entry,sl,tp,entry_score,rsi_entry,adx4h_pct_entry,adx4h_delta_entry,volume_ratio_entry,ema20_dist_atr_entry,result,exit,R,closed_at,equity_after,post_mortem
ASTER/USDT:USDT|LONG|2026-09-17T20:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-17T20:30:00+00:00,ASTER/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.746,0.7382916394103878,0.7556354507370153,29.384654478535644,,,,,,TP,0.7556354507370153,1.25,2026-09-18T03:45:00+00:00,101.99658507346619,FOLLOW_THROUGH_OK_TP
ZEC/USDT:USDT|LONG|2026-09-18T01:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T01:30:00+00:00,ZEC/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,1471.05,1439.7765019182036,1510.1418726022453,56.930799215427605,54.285182941291325,0.585,7.2742863002014495,1.7243974477637087,0.35896822872160294,TP,1510.1418726022453,1.25,2026-09-18T03:45:00+00:00,102.63406373017536,FOLLOW_THROUGH_OK_TP
DASH/USDT:USDT|LONG|2026-09-18T01:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T01:45:00+00:00,DASH/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,60.96,59.66329200760888,62.5808849904889,47.66585646013783,52.626124028453404,0.38,5.02700480498342,1.689953096835688,0.3141515557283321,TP,62.5808849904889,1.25,2026-09-18T05:00:00+00:00,103.27552662848895,FOLLOW_THROUGH_OK_TP
ASTER/USDT:USDT|LONG|2026-09-18T04:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T04:45:00+00:00,ASTER/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.747,0.740335268391514,0.7553309145106075,55.70408753057917,51.84930994739806,0.665,3.7108645643123204,1.5487837104330375,0.1184067591365592,TP,0.7553309145106075,1.25,2026-09-18T03:45:00+00:00,103.920998669917,FOLLOW_THROUGH_OK_TP
1000PEPE/USDT:USDT|LONG|2026-09-18T04:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T04:30:00+00:00,1000PEPE/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.0036666,0.0036349986728317365,0.0037061016589603293,51.24222109632326,58.021728631158204,0.57,4.463471731176959,2.2769356471080076,0.8146117482587316,TP,0.0037061016589603293,1.25,2026-09-18T07:55:00+00:00,104.57050491160398,FOLLOW_THROUGH_OK_TP
ONDO/USDT:USDT|LONG|2026-09-18T08:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T08:45:00+00:00,ONDO/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.3885,0.380867484989259,0.3980406437634263,44.74587283760296,59.06437433326153,0.705,6.077467059608274,1.991056850311772,1.0188697464986793,TP,0.3980406437634263,1.25,2026-09-18T12:35:00+00:00,105.2240705673015,FOLLOW_THROUGH_OK_TP
0G/USDT:USDT|LONG|2026-09-18T07:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T07:45:00+00:00,0G/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.2078,0.2034901887142553,0.2131872641071809,51.83042563461873,54.8358983631496,0.685,5.867758697960088,1.0020014370410946,0.5003897676149313,TP,0.2131872641071809,1.25,2026-09-18T13:20:00+00:00,105.88172100834713,FOLLOW_THROUGH_OK_TP
STRK/USDT:USDT|LONG|2026-09-18T13:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T13:30:00+00:00,STRK/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.03443,0.03258441727412265,0.03673697840734669,53.60141534658798,60.85620356713805,0.46,8.774200440589814,1.0491521457192154,1.0657738152803242,TP,0.03673697840734669,1.25,2026-09-18T15:50:00+00:00,106.5434817646493,FOLLOW_THROUGH_OK_TP
REZ/USDT:USDT|LONG|2026-09-18T08:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T08:00:00+00:00,REZ/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.004021,0.0038438214257076413,0.004242473217865449,43.37338377175626,55.04457659114685,0.505,1.611450675424983,1.0050413107766396,0.5211656903980169,SL,0.0038438214257076413,-1.0,2026-09-18T16:40:00+00:00,106.01076435582605,FAILED_FOLLOW_THROUGH_SL
ONE/USDT:USDT|LONG|2026-09-18T04:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T04:30:00+00:00,ONE/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.0016756,0.0013948611432004017,0.002026523570999498,84.97647147426379,52.973103340828,0.935,9.216220996917578,1.2841274635503317,0.5322333662604852,TP,0.002026523570999498,1.25,2026-09-18T22:45:00+00:00,107.07887614537623,FOLLOW_THROUGH_OK_TP
